pokemon,acquire_as,acquisition_kind,acquisition_index,acquisition_method,acquisition_location,encounter_index,encounter_location,encounter_method,weather,rarity_percent,level_min,level_max,pokemon_declared_badge,acquisition_declared_badge,declared_badge_used,computed_minimum_badge,gate_reasons,review_flags,validation_result
Rillaboom,Grookey,primary,0,starter_choice,Postwick,1,Postwick,Starter choice,All Weather,,5,5,0,,0,0,,,OK
Cinderace,Scorbunny,primary,0,starter_choice,Postwick,1,Postwick,Starter choice,All Weather,,5,5,0,,0,0,,,OK
Inteleon,Sobble,primary,0,starter_choice,Postwick,1,Postwick,Starter choice,All Weather,,5,5,0,,0,0,,,OK
Orbeetle,Blipbug,primary,0,wild_encounter,Slumbering Weald,1,Slumbering Weald,Overworld,All Weather,20,2,3,0,,0,0,,,OK
Orbeetle,Blipbug,primary,0,wild_encounter,Slumbering Weald,2,Slumbering Weald,Random,All Weather,10,2,3,0,,0,0,,,OK
Butterfree,Caterpie,primary,0,wild_encounter,Route 1,1,Route 1,Random,All Weather,15,2,5,0,,0,0,,,OK
Vikavolt,Grubbin,primary,0,wild_encounter,Route 1,1,Route 1,Random,All Weather,10,2,5,0,,0,0,,,OK
Noctowl,Hoothoot,primary,0,wild_encounter,Route 1,1,Route 1,Random,All Weather,5,2,5,0,,0,0,,,OK
Noctowl,Hoothoot,primary,0,wild_encounter,Route 1,2,Route 2,Random,All Weather,5,4,6,0,,0,0,,,OK
Corviknight,Rookidee,primary,0,wild_encounter,Route 1,1,Route 1,Overworld,All Weather,30,3,6,0,,0,0,,,OK
Corviknight,Rookidee,primary,0,wild_encounter,Route 1,2,Route 2,Random,All Weather,25,4,6,0,,0,0,,,OK
Greedent,Skwovet,primary,0,wild_encounter,Route 1,1,Route 1,Random,All Weather,40,2,5,0,,0,0,,,OK
Greedent,Skwovet,primary,0,wild_encounter,Route 1,2,Route 1,Overworld,All Weather,50,3,6,0,,0,0,,,OK
Unfezant,Pidove,primary,0,wild_encounter,Rolling Fields,1,Rolling Fields,Flying,Normal Weather,25,7,10,0,,0,0,,,OK
