pokemon,acquire_as,declared_required_badge,computed_record_minimum_badge,computed_primary_minimum_badge,validation_result,review_flags,acquisition_count,candidate_count
Rillaboom,Grookey,0,0,0,OK,,1,1
Cinderace,Scorbunny,0,0,0,OK,,1,1
Inteleon,Sobble,0,0,0,OK,,1,1
Orbeetle,Blipbug,0,0,0,OK,,1,2
Butterfree,Caterpie,0,0,0,OK,,1,1
Vikavolt,Grubbin,0,0,0,OK,,1,1
Noctowl,Hoothoot,0,0,0,OK,,1,2
Corviknight,Rookidee,0,0,0,OK,,1,2
Greedent,Skwovet,0,0,0,OK,,1,2
Unfezant,Pidove,0,0,0,OK,,1,2
Thievul,Nickit,0,0,0,OK,,1,2
Obstagoon,Galarian Zigzagoon,0,0,0,OK,,1,2
Dubwool,Wooloo,0,0,0,OK,,1,2
Shiftry,Seedot,0,0,0,OK,,1,2
Drednaw,Chewtle,0,0,0,OK,,1,2
Liepard,Purrloin,0,0,0,OK,,1,2
Boltund,Yamper,0,0,0,OK,,1,2
Diggersby,Bunnelby,0,0,0,OK,,1,2
Cinccino,Minccino,0,0,0,OK,,1,2
Tsareena,Bounsweet,0,0,0,OK,,1,2
Vileplume,Oddish,0,0,0,OK,,1,2
Bellossom,Oddish,0,0,0,OK,,1,2
Roserade,Budew,0,0,0,OK,,1,2
Pelipper,Wingull,0,0,0,OK,,1,2
Galvantula,Joltik,0,0,0,OK,,1,2
Manectric,Electrike,0,0,0,OK,,1,2
Ninetales,Vulpix,0,0,0,OK,,1,2
Arcanine,Growlithe,2,2,2,OK,,1,2
Vanilluxe,Vanillite,0,0,0,OK,,1,2
Mamoswine,Swinub,0,0,0,OK,,1,2
Delibird,Delibird,3,3,3,OK,,1,2
Glalie,Snorunt,0,0,0,OK,,1,2
Froslass,Snorunt,0,0,0,OK,,1,2
Claydol,Baltoy,0,0,0,OK,,1,2
Mudsdale,Mudbray,0,0,0,OK,,1,2
Crustle,Dwebble,0,0,0,OK,,1,1
Golurk,Golett,0,0,0,OK,,1,2
Musharna,Munna,2,2,2,OK,,1,1
Xatu,Natu,2,2,2,OK,,1,2
Bewear,Stufful,0,0,0,OK,,1,2
Abomasnow,Snover,0,0,0,OK,,1,2
Kingler,Krabby,0,0,0,OK,,1,2
Quagsire,Wooper,0,0,0,OK,,1,2
Crawdaunt,Corphish,0,0,0,OK,,1,2
Ninjask,Nincada,0,0,0,OK,,1,2
Shedinja,Nincada,0,0,0,OK,,1,2
Hitmonlee,Tyrogue,0,0,0,OK,,1,2
Hitmonchan,Tyrogue,0,0,0,OK,,1,2
Hitmontop,Tyrogue,0,0,0,OK,,1,2
Pangoro,Pancham,0,0,0,OK,,1,2
Klinklang,Klink,0,0,0,OK,,1,2
Vespiquen,Combee,0,0,0,OK,,1,2
Bronzong,Bronzor,2,2,2,OK,,1,2
Gardevoir,Ralts,0,0,0,OK,,1,2
Gallade,Ralts,0,0,0,OK,,1,2
Drifblim,Drifloon,1,1,1,OK,,1,2
Eldegoss,Gossifleur,0,0,0,OK,,1,2
Cherrim,Cherubi,0,0,0,OK,,1,2
Skuntank,Stunky,0,0,0,OK,,1,2
Seismitoad,Tympole,0,0,0,OK,,1,2
Dusknoir,Duskull,0,0,0,OK,,1,2
Machamp,Machop,0,0,0,OK,,1,2
Gengar,Gastly,0,0,0,OK,,1,2
Gyarados,Magikarp,0,0,0,OK,,1,2
Seaking,Goldeen,0,0,0,OK,,1,2
Octillery,Remoraid,0,0,0,OK,,1,2
Cloyster,Shellder,0,0,0,OK,,1,2
Milotic,Feebas,6,6,6,OK,,1,1
Basculin,Basculin,1,1,1,OK,,1,2
Wishiwashi,Wishiwashi,0,0,0,OK,,1,2
Pyukumuku,Pyukumuku,0,0,0,OK,,1,2
Garbodor,Trubbish,0,0,0,OK,,1,2
Centiskorch,Sizzlipede,0,0,0,OK,,1,2
Coalossal,Rolycoly,0,0,0,OK,,1,2
Dugtrio,Diglett,0,0,0,OK,,1,2
Excadrill,Drilbur,0,0,0,OK,,1,2
Gigalith,Roggenrola,0,0,0,OK,,1,2
Conkeldurr,Timburr,0,0,0,OK,,1,2
Swoobat,Woobat,0,0,0,OK,,1,2
Noivern,Noibat,2,2,2,OK,,1,2
Steelix,Onix,0,0,0,OK,,1,2
Barraskewda,Arrokuda,0,0,0,OK,,1,2
Perrserker,Galarian Meowth,0,0,0,OK,,1,2
Persian,Kantonian Meowth,0,0,0,OK,,1,1
Alcremie,Milcery,0,0,0,OK,,1,2
Ribombee,Cutiefly,0,0,0,OK,,1,2
Ferrothorn,Ferroseed,0,0,0,OK,,1,2
Gourgeist,Pumpkaboo,0,0,0,OK,,1,2
Raichu,Pikachu,0,0,0,OK,,1,2
Vaporeon,Eevee,0,0,0,OK,,1,1
Jolteon,Eevee,0,0,0,OK,,1,1
Flareon,Eevee,0,0,0,OK,,1,1
Espeon,Eevee,0,0,0,OK,,1,1
Umbreon,Eevee,0,0,0,OK,,1,1
Leafeon,Eevee,0,0,0,OK,,1,1
Glaceon,Eevee,0,0,0,OK,,1,1
Sylveon,Eevee,0,0,0,OK,,1,1
Flapple,Applin,1,1,1,OK,,1,2
Meowstic,Espurr,1,1,1,OK,,1,2
Slurpuff,Swirlix,1,1,1,OK,,1,2
Araquanid,Dewpider,1,1,1,OK,,1,2
Wynaut,Wynaut,1,1,1,OK,,1,1
Wobbuffet,Wobbuffet,1,1,1,OK,,1,2
Sirfetch'd,Galarian Farfetch'd,1,1,1,OK,,1,2
Lanturn,Chinchou,1,1,1,OK,,1,2
Scrafty,Scraggy,2,2,2,OK,,1,2
Stunfisk,Galarian Stunfisk,2,2,2,OK,,1,2
Shuckle,Shuckle,3,3,3,OK,,1,2
Whiscash,Barboach,0,0,0,OK,,1,2
Gastrodon,Shellos,2,2,2,OK,,1,2
Golisopod,Wimpod,2,2,2,OK,,1,2
Barbaracle,Binacle,2,2,2,OK,,1,2
Grimmsnarl,Impidimp,2,2,2,OK,,1,2
Hatterene,Hatenna,2,2,2,OK,,1,2
Salazzle,Salandit,2,2,2,OK,,1,2
Bisharp,Pawniard,2,2,2,OK,,1,2
Throh,Throh,5,5,5,OK,,1,1
Sawk,Sawk,2,2,2,OK,,1,2
Weezing,Koffing,2,2,2,OK,,1,2
Sudowoodo,Bonsly,3,3,3,OK,,1,2
Clefable,Clefairy,8,8,8,OK,,1,2
Togekiss,Togepi,2,2,2,OK,,1,2
Snorlax,Munchlax,2,2,2,OK,,1,1
Whimsicott,Cottonee,2,2,2,OK,,1,1
Rhyperior,Rhyhorn,3,3,3,OK,,1,2
Gothitelle,Gothitelle,5,5,5,OK,,2,3
Escavalier,Karrablast,2,2,2,OK,,1,2
Accelgor,Shelmet,2,2,2,OK,,1,2
Beheeyem,Elgyem,2,2,2,OK,,1,2
Beartic,Cubchoo,2,2,2,OK,,1,2
Braviary,Rufflet,2,2,2,OK,,1,2
Drapion,Skorupi,2,2,2,OK,,1,2
Chandelure,Litwick,2,2,2,OK,,1,2
Malamar,Inkay,2,2,2,OK,,1,2
Weavile,Sneasel,2,2,2,OK,,1,2
Mawile,Mawile,3,3,3,OK,,1,1
Maractus,Maractus,2,2,2,OK,,1,2
Sigilyph,Sigilyph,2,2,2,OK,,1,2
Lucario,Riolu,3,3,3,OK,,1,2
Torkoal,Torkoal,2,2,2,OK,,1,2
Mimikyu,Mimikyu,8,8,8,OK,,3,3
Copperajah,Cufant,2,2,2,OK,,1,2
Qwilfish,Qwilfish,2,2,2,OK,,1,2
Jellicent,Frillish,2,2,2,OK,,1,1
Toxapex,Mareanie,2,2,2,OK,,1,2
Cramorant,Cramorant,2,2,2,OK,,1,2
Toxtricity,Toxel,1,1,1,OK,,2,2
Sandaconda,Silicobra,3,3,3,OK,,1,2
Hippowdon,Hippopotas,3,3,3,OK,,1,2
Durant,Durant,3,3,3,OK,,1,2
Heatmor,Heatmor,2,2,2,OK,,1,2
Heliolisk,Helioptile,2,2,2,OK,,1,2
Hawlucha,Hawlucha,2,2,2,OK,,1,2
Flygon,Trapinch,3,3,3,OK,,1,1
Haxorus,Axew,3,3,3,OK,,1,2
Runerigus,Galarian Yamask,0,0,0,OK,,2,2
Cofagrigus,Unovan Yamask,4,4,4,OK,,1,1
Aegislash,Honedge,3,3,3,OK,,1,2
Polteageist,Sinistea,4,4,4,OK,,1,2
Indeedee,Indeedee,4,4,4,OK,,1,1
Trevenant,Phantump,4,4,4,OK,,1,1
